Data,Temperatura Max (°C),Temperatura Min (°C)
20/09/2023,28,21
21/09/2023,29,21
22/09/2023,31,23
23/09/2023,29,23
24/09/2023,34,25
25/09/2023,29,22
26/09/2023,29,22
